,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,27.0,48.0,77.0,86.0,159.0,239.0,225.0,360.0,264.0,666.0,1377.0,257.357
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,0.997,1.0,0.921,1.0,0.894,0.769,0.802,0.752,0.907
PA,1.0,0.915,0.967,1.0,0.982,0.91,0.685,0.812,0.824,0.997,0.945,0.74,0.519,0.589,0.849
FGA,1.0,1.0,0.877,0.658,1.0,0.886,0.96,0.971,0.96,0.928,0.823,0.817,0.855,0.87,0.9
PTA,1.0,0.793,0.771,0.852,0.917,0.844,0.884,0.818,0.762,0.738,0.697,0.648,0.521,0.566,0.772
RTA,1.0,0.793,0.711,0.5,0.917,0.878,0.854,0.833,0.771,0.703,0.784,0.506,0.554,0.628,0.745
FTA,1.0,0.793,0.74,0.63,0.917,0.861,0.869,0.825,0.766,0.72,0.738,0.568,0.537,0.595,0.754
