,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,30.0,48.0,74.0,87.0,159.0,233.0,229.0,358.0,340.0,688.0,1347.0,262.0
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,0.999,0.993,0.846,1.0,0.897,0.822,0.806,0.846,0.916
PA,1.0,0.999,0.968,0.999,1.0,0.703,0.685,0.816,0.814,0.973,0.957,0.838,0.549,0.634,0.852
FGA,1.0,1.0,0.877,0.711,1.0,0.865,0.977,0.971,0.938,0.92,0.838,0.917,0.866,0.863,0.91
PTA,1.0,0.828,0.857,0.767,0.958,0.757,0.885,0.83,0.725,0.786,0.732,0.718,0.571,0.591,0.786
RTA,1.0,0.828,0.789,0.5,0.958,0.757,0.865,0.846,0.716,0.763,0.819,0.722,0.628,0.641,0.774
FTA,1.0,0.828,0.822,0.605,0.958,0.757,0.875,0.838,0.721,0.774,0.773,0.72,0.598,0.615,0.777
