,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,13.0,31.0,29.0,27.0,48.0,72.0,86.0,159.0,232.0,213.0,302.0,361.0,598.0,4739.0,493.571
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,0.0,0.997,0.745,1.0,1.0,0.856,0.997,0.993,0.915,0.997,0.885,0.802,0.769,0.728,0.835
PA,0.114,0.965,0.348,0.948,0.485,0.648,0.351,0.551,0.84,0.862,0.891,0.693,0.519,0.556,0.626
FGA,0.0,0.933,0.716,0.658,1.0,0.89,0.96,0.971,0.915,0.878,0.833,0.835,0.794,0.326,0.765
PTA,0.154,0.581,0.517,0.778,0.833,0.75,0.744,0.748,0.681,0.704,0.705,0.609,0.485,0.127,0.601
RTA,0.182,0.621,0.395,0.457,0.833,0.73,0.719,0.763,0.669,0.636,0.666,0.651,0.463,0.485,0.591
FTA,0.167,0.6,0.448,0.575,0.833,0.74,0.731,0.756,0.675,0.668,0.685,0.629,0.474,0.201,0.584
