,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,29.0,48.0,76.0,92.0,159.0,237.0,224.0,353.0,263.0,684.0,1324.0,254.571
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.998,1.0,0.92,0.986,0.894,0.772,0.794,0.77,0.911
PA,1.0,0.995,0.968,0.999,0.992,0.763,0.685,0.812,0.851,0.998,0.957,0.667,0.549,0.611,0.846
FGA,1.0,1.0,0.877,0.693,1.0,0.933,0.95,0.971,0.947,0.935,0.844,0.812,0.858,0.862,0.906
PTA,1.0,0.793,0.829,0.793,0.938,0.842,0.837,0.824,0.734,0.763,0.734,0.662,0.58,0.599,0.781
RTA,1.0,0.793,0.763,0.5,0.938,0.865,0.865,0.84,0.737,0.725,0.809,0.515,0.634,0.639,0.759
FTA,1.0,0.793,0.795,0.613,0.938,0.853,0.851,0.832,0.736,0.743,0.77,0.579,0.606,0.618,0.766
