,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,76.0,93.0,160.0,237.0,235.0,345.0,341.0,666.0,1544.0,276.214
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,1.0,1.0,0.926,1.0,0.92,0.851,0.807,0.858,0.927
PA,1.0,0.995,0.999,1.0,1.0,0.724,0.687,0.73,0.849,0.973,0.973,0.598,0.666,0.606,0.843
FGA,1.0,1.0,0.877,0.968,1.0,0.907,0.967,0.981,0.943,0.913,0.875,0.937,0.861,0.794,0.93
PTA,1.0,0.828,0.914,0.957,0.979,0.763,0.839,0.831,0.755,0.757,0.716,0.701,0.559,0.508,0.793
RTA,1.0,0.828,0.842,0.978,0.979,0.784,0.876,0.853,0.758,0.754,0.772,0.707,0.594,0.632,0.811
FTA,1.0,0.828,0.877,0.968,0.979,0.773,0.857,0.842,0.757,0.756,0.743,0.704,0.576,0.563,0.802
