,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,66.0,92.0,160.0,236.0,238.0,317.0,349.0,707.0,1365.0,264.286
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.996,0.998,1.0,0.899,1.0,0.922,0.997,0.899,0.865,0.952
PA,1.0,0.996,1.0,1.0,1.0,0.794,0.965,0.627,0.902,1.0,0.981,0.971,0.747,0.603,0.899
FGA,1.0,1.0,0.877,0.968,1.0,0.907,0.967,0.981,0.968,0.942,0.92,0.94,0.863,0.868,0.943
PTA,1.0,0.862,0.943,0.936,0.979,0.864,0.87,0.887,0.877,0.857,0.826,0.805,0.584,0.611,0.85
RTA,1.0,0.862,0.868,0.957,0.979,0.77,0.899,0.91,0.877,0.864,0.819,0.831,0.66,0.672,0.855
FTA,1.0,0.862,0.904,0.946,0.979,0.814,0.884,0.899,0.877,0.861,0.823,0.818,0.62,0.64,0.852
