,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,72.0,93.0,160.0,233.0,233.0,334.0,259.0,739.0,1294.0,256.214
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,1.0,1.0,0.931,0.986,0.92,0.772,0.821,0.767,0.915
PA,1.0,0.999,0.999,0.999,1.0,0.741,0.826,0.596,0.876,0.985,0.98,0.8,0.68,0.48,0.854
FGA,1.0,1.0,0.877,0.968,1.0,0.863,0.967,0.981,0.981,0.913,0.905,0.824,0.841,0.874,0.928
PTA,1.0,0.897,0.914,0.936,0.938,0.806,0.871,0.856,0.845,0.798,0.805,0.768,0.564,0.615,0.83
RTA,1.0,0.897,0.842,0.957,0.938,0.784,0.91,0.878,0.835,0.788,0.841,0.589,0.666,0.641,0.826
FTA,1.0,0.897,0.877,0.946,0.938,0.795,0.89,0.867,0.84,0.793,0.823,0.667,0.611,0.628,0.827
