,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,67.0,93.0,160.0,236.0,235.0,379.0,262.0,681.0,1288.0,255.071
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.868,1.0,1.0,0.915,0.985,0.922,0.797,0.907,0.873,0.93
PA,1.0,0.999,0.999,1.0,1.0,0.75,0.965,0.725,0.905,0.985,0.982,0.858,0.769,0.63,0.898
FGA,1.0,1.0,0.877,0.968,1.0,0.823,0.967,0.981,0.975,0.93,0.85,0.837,0.891,0.89,0.928
PTA,1.0,0.862,0.914,0.957,0.938,0.821,0.871,0.881,0.877,0.843,0.71,0.836,0.628,0.646,0.842
RTA,1.0,0.862,0.842,0.978,0.938,0.743,0.91,0.904,0.877,0.839,0.841,0.648,0.684,0.67,0.838
FTA,1.0,0.862,0.877,0.968,0.938,0.78,0.89,0.892,0.877,0.841,0.77,0.73,0.655,0.658,0.838
