,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,68.0,87.0,160.0,235.0,235.0,324.0,345.0,743.0,1296.0,261.643
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.87,0.999,1.0,0.914,1.0,0.922,0.857,0.907,0.865,0.934
PA,1.0,0.999,0.999,1.0,1.0,0.751,0.965,0.629,0.904,0.999,0.982,0.907,0.75,0.629,0.894
FGA,1.0,1.0,0.877,0.968,1.0,0.887,0.977,0.981,0.968,0.938,0.925,0.958,0.853,0.898,0.945
PTA,1.0,0.897,0.914,0.957,0.958,0.838,0.92,0.869,0.877,0.855,0.824,0.803,0.576,0.651,0.853
RTA,1.0,0.897,0.842,0.978,0.958,0.77,0.899,0.891,0.873,0.852,0.834,0.82,0.684,0.68,0.856
FTA,1.0,0.897,0.877,0.968,0.958,0.803,0.909,0.88,0.875,0.854,0.829,0.811,0.625,0.665,0.854
