,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,28.0,48.0,76.0,87.0,159.0,238.0,229.0,376.0,364.0,681.0,1342.0,264.5
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,0.999,0.993,0.882,1.0,0.898,0.708,0.806,0.797,0.907
PA,1.0,0.999,0.908,1.0,0.972,0.76,0.684,0.813,0.824,0.996,0.942,0.726,0.513,0.623,0.84
FGA,1.0,1.0,0.877,0.676,1.0,0.907,0.977,0.971,0.907,0.929,0.819,0.897,0.866,0.865,0.906
PTA,0.909,0.828,0.743,0.786,0.896,0.803,0.874,0.824,0.727,0.777,0.67,0.698,0.559,0.604,0.764
RTA,0.909,0.828,0.684,0.478,0.896,0.824,0.854,0.84,0.733,0.754,0.787,0.751,0.609,0.653,0.757
FTA,0.909,0.828,0.712,0.595,0.896,0.813,0.864,0.832,0.73,0.766,0.724,0.724,0.583,0.627,0.757
