,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,72.0,86.0,160.0,238.0,233.0,334.0,262.0,731.0,1310.0,256.857
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.997,1.0,0.922,1.0,0.92,0.77,0.821,0.777,0.916
PA,1.0,0.999,0.999,0.999,1.0,0.941,0.965,0.593,0.87,0.999,0.98,0.796,0.615,0.574,0.881
FGA,1.0,1.0,0.877,0.968,1.0,0.89,0.96,0.981,0.966,0.938,0.905,0.827,0.845,0.888,0.932
PTA,1.0,0.862,0.914,0.936,0.938,0.847,0.919,0.844,0.824,0.798,0.808,0.771,0.568,0.631,0.833
RTA,1.0,0.862,0.842,0.957,0.938,0.824,0.888,0.865,0.831,0.788,0.844,0.598,0.663,0.666,0.826
FTA,1.0,0.862,0.877,0.946,0.938,0.836,0.903,0.854,0.827,0.793,0.826,0.673,0.612,0.648,0.828
