,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,36.0,47.0,48.0,76.0,93.0,160.0,234.0,241.0,348.0,354.0,722.0,1520.0,279.929
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,1.0,1.0,0.872,1.0,0.894,0.971,0.876,0.806,0.927
PA,1.0,0.996,0.941,0.999,1.0,0.705,0.687,0.729,0.832,0.973,0.958,0.765,0.638,0.559,0.842
FGA,1.0,1.0,0.838,0.968,1.0,0.907,0.967,0.981,0.962,0.901,0.859,0.931,0.825,0.793,0.924
PTA,1.0,0.862,0.889,0.936,0.979,0.789,0.849,0.863,0.782,0.751,0.716,0.723,0.517,0.519,0.798
RTA,1.0,0.862,0.842,0.957,0.979,0.811,0.888,0.885,0.775,0.767,0.778,0.757,0.596,0.636,0.824
FTA,1.0,0.862,0.865,0.946,0.979,0.8,0.868,0.873,0.779,0.759,0.746,0.74,0.553,0.572,0.81
