,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,12.0,29.0,34.0,27.0,48.0,67.0,73.0,163.0,243.0,222.0,321.0,328.0,699.0,1367.0,259.5
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,0.818,1.0,0.748,1.0,1.0,0.867,0.994,0.938,0.923,0.983,0.883,0.82,0.8,0.842,0.901
PA,0.916,0.995,0.907,0.999,0.94,0.79,0.538,0.529,0.843,0.933,0.906,0.788,0.563,0.688,0.81
FGA,0.87,1.0,0.889,0.658,1.0,0.809,0.852,0.934,0.919,0.869,0.864,0.922,0.848,0.848,0.877
PTA,0.833,0.724,0.794,0.889,0.875,0.791,0.712,0.742,0.691,0.631,0.766,0.698,0.548,0.57,0.733
RTA,0.909,0.724,0.711,0.522,0.875,0.716,0.584,0.776,0.712,0.593,0.769,0.678,0.612,0.628,0.701
FTA,0.87,0.724,0.75,0.658,0.875,0.752,0.642,0.759,0.701,0.611,0.768,0.688,0.578,0.597,0.712
