,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,76.0,92.0,160.0,236.0,226.0,347.0,259.0,693.0,1314.0,255.214
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.998,0.993,0.921,1.0,0.896,0.769,0.793,0.799,0.913
PA,1.0,0.996,0.999,0.999,0.99,0.703,0.685,0.699,0.857,0.984,0.953,0.789,0.591,0.572,0.844
FGA,1.0,1.0,0.877,0.968,1.0,0.933,0.95,0.981,0.941,0.926,0.855,0.824,0.858,0.871,0.927
PTA,1.0,0.862,0.914,0.936,0.917,0.803,0.848,0.838,0.775,0.774,0.744,0.707,0.569,0.6,0.806
RTA,1.0,0.862,0.842,0.957,0.917,0.824,0.876,0.859,0.775,0.742,0.806,0.541,0.629,0.636,0.805
FTA,1.0,0.862,0.877,0.946,0.917,0.813,0.862,0.848,0.775,0.758,0.774,0.613,0.597,0.618,0.804
