,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,70.0,87.0,159.0,233.0,227.0,330.0,345.0,695.0,1263.0,255.643
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.999,0.993,0.931,1.0,0.922,0.851,0.838,0.772,0.923
PA,1.0,0.999,0.999,1.0,1.0,0.751,0.966,0.623,0.866,1.0,0.98,0.803,0.646,0.553,0.87
FGA,1.0,1.0,0.877,0.968,1.0,0.903,0.977,0.971,0.981,0.92,0.911,0.934,0.874,0.865,0.941
PTA,1.0,0.862,0.914,0.957,0.958,0.843,0.897,0.855,0.82,0.815,0.791,0.759,0.596,0.629,0.835
RTA,1.0,0.862,0.842,0.978,0.958,0.797,0.876,0.872,0.809,0.784,0.816,0.775,0.661,0.64,0.834
FTA,1.0,0.862,0.877,0.968,0.958,0.819,0.886,0.863,0.814,0.799,0.803,0.767,0.627,0.634,0.834
