,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,75.0,87.0,160.0,232.0,230.0,349.0,337.0,743.0,1717.0,292.857
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,0.999,1.0,0.873,1.0,0.893,0.826,0.887,0.801,0.921
PA,1.0,0.995,0.968,1.0,1.0,0.703,0.685,0.736,0.839,0.973,0.953,0.842,0.685,0.626,0.858
FGA,1.0,1.0,0.877,0.968,1.0,0.886,0.977,0.981,0.962,0.94,0.849,0.924,0.836,0.754,0.925
PTA,0.909,0.828,0.857,0.957,0.938,0.773,0.897,0.85,0.772,0.804,0.739,0.739,0.54,0.464,0.791
RTA,0.909,0.828,0.789,0.978,0.938,0.784,0.876,0.872,0.758,0.784,0.806,0.737,0.641,0.641,0.81
FTA,0.909,0.828,0.822,0.968,0.938,0.779,0.886,0.861,0.765,0.794,0.771,0.738,0.586,0.538,0.799
