,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,36.0,29.0,48.0,74.0,93.0,159.0,232.0,233.0,331.0,355.0,732.0,1507.0,276.357
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,1.0,0.993,0.882,1.0,0.911,0.709,0.85,0.796,0.911
PA,1.0,0.996,0.88,1.0,0.96,0.716,0.686,0.687,0.82,0.998,0.929,0.673,0.493,0.653,0.821
FGA,1.0,1.0,0.838,0.693,1.0,0.892,0.967,0.971,0.927,0.904,0.839,0.9,0.794,0.765,0.892
PTA,0.909,0.862,0.667,0.828,0.875,0.73,0.828,0.811,0.716,0.73,0.68,0.693,0.433,0.482,0.732
RTA,0.909,0.862,0.632,0.522,0.875,0.73,0.865,0.827,0.703,0.72,0.703,0.728,0.506,0.586,0.726
FTA,0.909,0.862,0.649,0.64,0.875,0.73,0.846,0.819,0.709,0.725,0.691,0.71,0.467,0.529,0.726
