,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,76.0,93.0,160.0,233.0,233.0,326.0,343.0,695.0,1283.0,258.0
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,1.0,1.0,0.872,1.0,0.924,0.971,0.876,0.806,0.933
PA,1.0,0.996,0.999,1.0,1.0,0.75,0.967,0.627,0.841,1.0,0.986,0.849,0.629,0.539,0.87
FGA,1.0,1.0,0.877,0.968,1.0,0.843,0.95,0.981,0.975,0.941,0.917,0.955,0.858,0.873,0.938
PTA,1.0,0.862,0.914,0.957,0.958,0.829,0.871,0.881,0.824,0.845,0.801,0.77,0.573,0.62,0.836
RTA,1.0,0.862,0.842,0.978,0.958,0.851,0.91,0.904,0.814,0.835,0.816,0.781,0.636,0.641,0.845
FTA,1.0,0.862,0.877,0.968,0.958,0.84,0.89,0.892,0.819,0.84,0.808,0.775,0.603,0.631,0.84
