,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,36.0,29.0,48.0,75.0,87.0,159.0,230.0,226.0,351.0,353.0,754.0,2151.0,324.214
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,0.999,0.993,0.875,1.0,0.894,0.811,0.818,0.865,0.915
PA,1.0,0.999,0.91,1.0,0.98,0.703,0.685,0.807,0.793,0.996,0.95,0.832,0.529,0.669,0.847
FGA,1.0,1.0,0.838,0.693,1.0,0.886,0.977,0.971,0.961,0.935,0.82,0.897,0.825,0.652,0.89
PTA,1.0,0.862,0.75,0.862,0.896,0.773,0.885,0.818,0.7,0.774,0.715,0.654,0.485,0.354,0.752
RTA,1.0,0.862,0.711,0.543,0.896,0.784,0.865,0.833,0.682,0.742,0.784,0.683,0.585,0.614,0.756
FTA,1.0,0.862,0.73,0.667,0.896,0.779,0.875,0.825,0.691,0.758,0.748,0.669,0.53,0.449,0.748
