,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,69.0,93.0,160.0,235.0,233.0,322.0,338.0,684.0,1334.0,259.857
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,1.0,1.0,0.915,1.0,0.912,0.97,0.859,0.772,0.932
PA,1.0,0.995,0.999,1.0,0.917,0.762,0.967,0.627,0.867,0.999,0.98,0.784,0.616,0.639,0.868
FGA,1.0,1.0,0.877,0.968,1.0,0.839,0.967,0.981,0.981,0.942,0.907,0.941,0.856,0.854,0.937
PTA,1.0,0.828,0.914,0.957,0.896,0.812,0.871,0.844,0.821,0.82,0.786,0.749,0.564,0.582,0.817
RTA,1.0,0.828,0.842,0.978,0.896,0.757,0.91,0.865,0.818,0.809,0.791,0.749,0.617,0.626,0.82
FTA,1.0,0.828,0.877,0.968,0.896,0.783,0.89,0.854,0.82,0.814,0.788,0.749,0.589,0.603,0.819
