,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,27.0,48.0,75.0,86.0,159.0,239.0,225.0,373.0,264.0,696.0,1351.0,258.429
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.997,0.993,0.921,1.0,0.88,0.758,0.798,0.798,0.912
PA,1.0,0.995,0.91,0.999,1.0,0.912,0.685,0.702,0.861,0.998,0.953,0.744,0.583,0.574,0.851
FGA,1.0,1.0,0.877,0.658,1.0,0.954,0.96,0.971,0.96,0.928,0.809,0.814,0.864,0.85,0.903
PTA,1.0,0.862,0.857,0.852,0.938,0.813,0.884,0.818,0.77,0.764,0.7,0.678,0.565,0.597,0.793
RTA,1.0,0.862,0.789,0.5,0.938,0.824,0.854,0.833,0.78,0.729,0.816,0.53,0.628,0.649,0.767
FTA,1.0,0.862,0.822,0.63,0.938,0.819,0.869,0.825,0.775,0.746,0.753,0.595,0.595,0.622,0.775
