,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,71.0,93.0,160.0,235.0,237.0,322.0,353.0,706.0,1280.0,259.071
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,1.0,1.0,0.926,1.0,0.922,0.855,0.831,0.851,0.929
PA,1.0,0.999,0.999,1.0,1.0,0.751,0.966,0.629,0.908,1.0,0.982,0.907,0.687,0.628,0.89
FGA,1.0,1.0,0.877,0.968,1.0,0.897,0.967,0.981,0.981,0.947,0.941,0.941,0.875,0.884,0.947
PTA,1.0,0.862,0.914,0.957,0.938,0.845,0.892,0.887,0.885,0.857,0.845,0.796,0.592,0.65,0.851
RTA,1.0,0.862,0.842,0.978,0.938,0.811,0.933,0.91,0.881,0.86,0.85,0.831,0.668,0.67,0.86
FTA,1.0,0.862,0.877,0.968,0.938,0.828,0.912,0.899,0.883,0.858,0.847,0.813,0.628,0.66,0.855
