,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,72.0,87.0,160.0,233.0,235.0,329.0,328.0,747.0,1307.0,262.0
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,0.999,1.0,0.873,1.0,0.922,0.971,0.825,0.822,0.931
PA,1.0,0.999,0.999,0.999,1.0,0.747,0.825,0.626,0.842,0.999,0.982,0.907,0.642,0.543,0.865
FGA,1.0,1.0,0.877,0.968,1.0,0.863,0.977,0.981,0.968,0.926,0.918,0.952,0.835,0.886,0.939
PTA,1.0,0.862,0.914,0.936,0.938,0.806,0.908,0.856,0.807,0.804,0.815,0.774,0.557,0.626,0.829
RTA,1.0,0.862,0.842,0.957,0.938,0.784,0.888,0.878,0.797,0.801,0.838,0.751,0.665,0.659,0.833
FTA,1.0,0.862,0.877,0.946,0.938,0.795,0.898,0.867,0.802,0.803,0.826,0.763,0.606,0.642,0.83
