,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,72.0,83.0,163.0,246.0,222.0,325.0,334.0,663.0,1380.0,261.286
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.868,0.999,0.938,0.923,0.983,0.912,0.8,0.77,0.835,0.913
PA,1.0,0.994,1.0,1.0,0.893,0.739,0.541,0.545,0.879,0.98,0.968,0.838,0.56,0.576,0.822
FGA,1.0,1.0,0.877,0.968,1.0,0.849,0.93,0.934,0.934,0.882,0.89,0.929,0.858,0.842,0.921
PTA,1.0,0.759,0.914,0.936,0.854,0.778,0.735,0.773,0.724,0.712,0.782,0.734,0.576,0.558,0.774
RTA,1.0,0.759,0.842,0.957,0.854,0.757,0.685,0.808,0.754,0.669,0.794,0.725,0.61,0.62,0.774
FTA,1.0,0.759,0.877,0.946,0.854,0.767,0.709,0.79,0.739,0.69,0.788,0.729,0.593,0.588,0.774
