,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,69.0,93.0,160.0,232.0,236.0,339.0,331.0,745.0,1304.0,262.786
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.87,1.0,1.0,0.875,1.0,0.921,0.971,0.82,0.785,0.928
PA,1.0,0.999,0.999,0.999,1.0,0.749,0.965,0.629,0.843,0.999,0.979,0.915,0.639,0.581,0.878
FGA,1.0,1.0,0.877,0.968,1.0,0.867,0.967,0.981,0.974,0.924,0.901,0.951,0.833,0.883,0.938
PTA,1.0,0.862,0.914,0.936,0.958,0.841,0.882,0.875,0.806,0.805,0.791,0.776,0.552,0.623,0.83
RTA,1.0,0.862,0.842,0.957,0.958,0.784,0.921,0.897,0.792,0.805,0.838,0.76,0.657,0.655,0.838
FTA,1.0,0.862,0.877,0.946,0.958,0.811,0.901,0.886,0.799,0.805,0.813,0.768,0.6,0.639,0.833
