,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,36.0,28.0,48.0,75.0,88.0,162.0,234.0,225.0,361.0,373.0,759.0,1355.0,270.286
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,0.999,0.999,0.92,1.0,0.894,0.693,0.807,0.824,0.907
PA,1.0,0.995,0.722,0.999,0.99,0.705,0.685,0.736,0.86,0.973,0.949,0.732,0.667,0.577,0.828
FGA,1.0,1.0,0.838,0.676,1.0,0.886,0.96,0.969,0.936,0.915,0.802,0.889,0.823,0.857,0.896
PTA,1.0,0.862,0.694,0.857,0.896,0.8,0.841,0.809,0.718,0.778,0.651,0.668,0.477,0.582,0.76
RTA,1.0,0.862,0.658,0.522,0.896,0.811,0.831,0.84,0.712,0.742,0.734,0.737,0.578,0.635,0.754
FTA,1.0,0.862,0.676,0.649,0.896,0.805,0.836,0.824,0.715,0.759,0.69,0.7,0.523,0.607,0.753
