,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,77.0,91.0,160.0,240.0,231.0,356.0,352.0,865.0,1334.0,276.857
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,1.0,1.0,0.915,0.999,0.89,0.709,0.882,0.851,0.919
PA,0.994,0.998,1.0,0.999,1.0,0.998,0.693,0.725,0.841,0.997,0.943,0.664,0.661,0.675,0.871
FGA,1.0,1.0,0.877,0.968,1.0,0.954,0.978,0.981,0.941,0.895,0.852,0.925,0.759,0.87,0.929
PTA,0.909,0.862,0.914,0.936,0.938,0.909,0.846,0.856,0.779,0.766,0.744,0.764,0.443,0.585,0.804
RTA,0.909,0.862,0.842,0.957,0.938,0.946,0.865,0.878,0.792,0.75,0.828,0.796,0.612,0.629,0.829
FTA,0.909,0.862,0.877,0.946,0.938,0.927,0.856,0.867,0.786,0.758,0.784,0.78,0.514,0.606,0.815
