,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,37.0,47.0,48.0,76.0,87.0,160.0,237.0,226.0,362.0,356.0,680.0,1361.0,265.5
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,0.999,1.0,0.921,1.0,0.889,0.711,0.89,0.796,0.912
PA,1.0,0.999,0.966,0.999,0.982,0.753,0.684,0.812,0.828,0.973,0.953,0.731,0.531,0.631,0.846
FGA,1.0,1.0,0.827,0.968,1.0,0.907,0.977,0.981,0.956,0.918,0.83,0.919,0.879,0.853,0.93
PTA,1.0,0.828,0.865,0.936,0.917,0.816,0.885,0.85,0.793,0.783,0.696,0.719,0.584,0.583,0.804
RTA,1.0,0.828,0.842,0.957,0.917,0.838,0.865,0.872,0.797,0.75,0.787,0.757,0.634,0.64,0.82
FTA,1.0,0.828,0.853,0.946,0.917,0.827,0.875,0.861,0.795,0.766,0.739,0.738,0.608,0.61,0.812
