,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,73.0,84.0,164.0,230.0,224.0,332.0,332.0,635.0,1372.0,258.286
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,0.992,0.938,0.924,0.983,0.912,0.942,0.783,0.836,0.923
PA,1.0,0.994,1.0,1.0,0.452,0.741,0.959,0.552,0.888,0.982,0.975,0.913,0.537,0.572,0.826
FGA,1.0,1.0,0.877,0.968,1.0,0.871,0.913,0.931,0.94,0.887,0.883,0.937,0.839,0.833,0.92
PTA,0.909,0.759,0.914,0.936,0.833,0.808,0.774,0.762,0.787,0.741,0.771,0.738,0.573,0.562,0.776
RTA,0.909,0.759,0.842,0.957,0.833,0.797,0.73,0.801,0.767,0.703,0.8,0.725,0.581,0.621,0.773
FTA,0.909,0.759,0.877,0.946,0.833,0.803,0.751,0.781,0.777,0.722,0.785,0.731,0.577,0.59,0.774
