,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,30.0,48.0,75.0,93.0,159.0,232.0,229.0,359.0,352.0,720.0,1335.0,264.786
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.869,1.0,0.993,0.844,1.0,0.915,0.831,0.793,0.788,0.913
PA,1.0,0.999,0.997,0.999,0.98,0.703,0.687,0.688,0.814,0.973,0.969,0.798,0.496,0.563,0.833
FGA,1.0,1.0,0.877,0.684,1.0,0.913,0.967,0.971,0.919,0.912,0.839,0.928,0.819,0.851,0.906
PTA,0.909,0.828,0.771,0.733,0.896,0.787,0.849,0.843,0.72,0.782,0.677,0.739,0.51,0.6,0.76
RTA,0.909,0.828,0.711,0.478,0.896,0.797,0.888,0.859,0.708,0.758,0.759,0.769,0.586,0.645,0.756
FTA,0.909,0.828,0.74,0.579,0.896,0.792,0.868,0.851,0.714,0.77,0.716,0.754,0.545,0.622,0.756
