,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,66.0,84.0,167.0,232.0,231.0,320.0,352.0,649.0,1300.0,255.071
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.868,0.992,0.938,0.925,0.916,0.915,0.968,0.873,0.848,0.928
PA,1.0,0.994,1.0,1.0,0.452,0.741,0.959,0.567,0.89,0.979,0.961,0.96,0.7,0.626,0.845
FGA,1.0,1.0,0.877,0.968,1.0,0.814,0.913,0.923,0.953,0.912,0.894,0.942,0.894,0.874,0.926
PTA,0.909,0.759,0.914,0.915,0.812,0.803,0.774,0.749,0.845,0.818,0.778,0.778,0.641,0.609,0.793
RTA,0.909,0.759,0.842,0.935,0.812,0.716,0.73,0.801,0.831,0.801,0.778,0.811,0.665,0.638,0.788
FTA,0.909,0.759,0.877,0.925,0.812,0.757,0.751,0.774,0.838,0.809,0.778,0.794,0.653,0.623,0.79
