,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,37.0,29.0,48.0,76.0,92.0,159.0,231.0,221.0,362.0,354.0,779.0,1338.0,269.0
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.871,0.998,0.993,0.875,0.986,0.88,0.812,0.778,0.814,0.907
PA,1.0,0.995,0.691,1.0,0.972,0.703,0.825,0.801,0.802,0.984,0.94,0.831,0.524,0.62,0.835
FGA,1.0,1.0,0.827,0.693,1.0,0.933,0.95,0.971,0.968,0.915,0.795,0.896,0.799,0.86,0.901
PTA,1.0,0.828,0.757,0.862,0.896,0.816,0.848,0.83,0.714,0.742,0.68,0.647,0.463,0.587,0.762
RTA,1.0,0.828,0.737,0.543,0.896,0.838,0.876,0.846,0.699,0.695,0.769,0.678,0.577,0.633,0.758
FTA,1.0,0.828,0.747,0.667,0.896,0.827,0.862,0.838,0.707,0.718,0.721,0.662,0.514,0.609,0.757
