,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,68.0,93.0,160.0,233.0,236.0,338.0,340.0,687.0,1356.0,262.929
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.998,1.0,1.0,0.926,1.0,0.924,0.993,0.889,0.856,0.952
PA,1.0,0.995,1.0,1.0,0.913,0.764,0.965,0.627,0.908,0.999,0.987,0.973,0.725,0.713,0.898
FGA,1.0,1.0,0.877,0.968,1.0,0.859,0.967,0.981,0.972,0.953,0.906,0.962,0.87,0.856,0.941
PTA,1.0,0.828,0.943,0.936,0.875,0.838,0.849,0.869,0.884,0.839,0.79,0.826,0.606,0.596,0.834
RTA,1.0,0.828,0.868,0.957,0.875,0.77,0.888,0.891,0.873,0.839,0.834,0.831,0.665,0.651,0.841
FTA,1.0,0.828,0.904,0.946,0.875,0.803,0.868,0.88,0.878,0.839,0.812,0.829,0.634,0.622,0.837
