,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,71.0,87.0,160.0,234.0,237.0,341.0,262.0,718.0,1303.0,255.929
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.999,1.0,0.931,1.0,0.922,0.8,0.902,0.868,0.932
PA,1.0,0.999,0.999,1.0,1.0,0.948,0.965,0.596,0.913,1.0,0.981,0.859,0.735,0.662,0.904
FGA,1.0,1.0,0.877,0.968,1.0,0.897,0.977,0.981,0.987,0.947,0.899,0.853,0.856,0.892,0.938
PTA,1.0,0.862,0.914,0.957,0.938,0.873,0.908,0.887,0.88,0.852,0.783,0.832,0.599,0.651,0.853
RTA,1.0,0.862,0.842,0.978,0.938,0.838,0.888,0.91,0.873,0.856,0.834,0.645,0.687,0.683,0.845
FTA,1.0,0.862,0.877,0.968,0.938,0.855,0.898,0.899,0.877,0.854,0.808,0.727,0.64,0.667,0.848
