,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,34.0,31.0,48.0,75.0,93.0,159.0,242.0,232.0,352.0,351.0,659.0,1309.0,258.929
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,1.0,0.993,0.92,1.0,0.88,0.827,0.812,0.825,0.915
PA,1.0,0.995,0.966,0.999,0.98,0.716,0.687,0.689,0.816,0.972,0.976,0.601,0.598,0.651,0.832
FGA,1.0,1.0,0.889,0.753,1.0,0.913,0.967,0.971,0.904,0.91,0.854,0.914,0.847,0.862,0.913
PTA,1.0,0.793,0.794,0.839,0.917,0.747,0.828,0.818,0.711,0.728,0.702,0.718,0.546,0.594,0.767
RTA,1.0,0.793,0.711,0.565,0.917,0.757,0.865,0.833,0.729,0.716,0.772,0.746,0.575,0.627,0.758
FTA,1.0,0.793,0.75,0.675,0.917,0.752,0.846,0.825,0.72,0.722,0.735,0.731,0.56,0.61,0.76
