,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,36.0,30.0,48.0,74.0,94.0,159.0,230.0,229.0,345.0,366.0,727.0,1415.0,270.929
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.869,0.999,0.993,0.844,1.0,0.897,0.815,0.802,0.796,0.907
PA,1.0,0.999,0.939,1.0,0.96,0.703,0.686,0.816,0.793,0.996,0.942,0.795,0.475,0.494,0.828
FGA,1.0,1.0,0.838,0.684,1.0,0.892,0.951,0.971,0.927,0.912,0.851,0.915,0.807,0.849,0.9
PTA,1.0,0.862,0.694,0.8,0.875,0.77,0.819,0.849,0.704,0.76,0.696,0.71,0.448,0.566,0.754
RTA,1.0,0.862,0.658,0.522,0.875,0.77,0.865,0.865,0.686,0.737,0.75,0.769,0.521,0.645,0.752
FTA,1.0,0.862,0.676,0.632,0.875,0.77,0.842,0.857,0.695,0.748,0.722,0.739,0.482,0.603,0.75
