,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,47.0,48.0,75.0,87.0,159.0,235.0,235.0,322.0,348.0,714.0,1347.0,263.714
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.999,0.993,0.926,1.0,0.923,0.856,0.902,0.857,0.934
PA,1.0,0.996,0.999,1.0,1.0,0.796,0.965,0.624,0.907,1.0,0.982,0.909,0.722,0.63,0.895
FGA,1.0,1.0,0.877,0.968,1.0,0.953,0.977,0.971,0.981,0.938,0.928,0.942,0.864,0.881,0.949
PTA,1.0,0.862,0.914,0.957,0.938,0.893,0.908,0.868,0.872,0.86,0.832,0.807,0.595,0.621,0.852
RTA,1.0,0.862,0.842,0.978,0.938,0.905,0.888,0.885,0.869,0.856,0.838,0.831,0.679,0.674,0.86
FTA,1.0,0.862,0.877,0.968,0.938,0.899,0.898,0.876,0.87,0.858,0.835,0.819,0.634,0.647,0.856
