,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,35.0,30.0,48.0,77.0,92.0,159.0,233.0,221.0,366.0,343.0,694.0,1348.0,263.286
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.871,0.998,1.0,0.873,1.0,0.894,0.826,0.794,0.759,0.908
PA,1.0,0.995,0.968,0.999,0.992,0.703,0.825,0.814,0.83,0.984,0.934,0.762,0.536,0.612,0.854
FGA,1.0,1.0,0.877,0.711,1.0,0.954,0.95,0.971,0.955,0.91,0.825,0.925,0.861,0.864,0.915
PTA,1.0,0.793,0.886,0.8,0.917,0.831,0.848,0.849,0.73,0.765,0.713,0.708,0.566,0.605,0.787
RTA,1.0,0.793,0.816,0.522,0.917,0.865,0.876,0.865,0.72,0.716,0.816,0.719,0.628,0.658,0.779
FTA,1.0,0.793,0.849,0.632,0.917,0.848,0.862,0.857,0.725,0.74,0.761,0.714,0.595,0.63,0.78
