,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,36.0,47.0,48.0,77.0,92.0,160.0,231.0,229.0,337.0,337.0,691.0,1349.0,262.429
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.748,1.0,1.0,0.871,0.998,0.993,0.846,0.986,0.897,0.823,0.779,0.8,0.91
PA,1.0,0.995,0.91,0.999,1.0,0.705,0.825,0.703,0.842,0.972,0.954,0.84,0.61,0.573,0.852
FGA,1.0,1.0,0.838,0.968,1.0,0.954,0.95,0.981,0.955,0.938,0.871,0.924,0.861,0.861,0.936
PTA,1.0,0.828,0.861,0.936,0.938,0.844,0.859,0.875,0.775,0.79,0.769,0.739,0.573,0.595,0.813
RTA,1.0,0.828,0.816,0.957,0.938,0.878,0.888,0.897,0.758,0.767,0.809,0.737,0.633,0.647,0.825
FTA,1.0,0.828,0.838,0.946,0.938,0.861,0.873,0.886,0.767,0.778,0.788,0.738,0.601,0.62,0.819
