,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,12.0,29.0,34.0,27.0,48.0,73.0,76.0,162.0,244.0,214.0,320.0,329.0,746.0,1387.0,264.357
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,0.818,1.0,0.748,1.0,1.0,0.868,0.995,0.938,0.923,0.983,0.874,0.819,0.783,0.867,0.901
PA,0.916,0.994,0.966,1.0,0.486,0.79,0.398,0.502,0.869,0.98,0.916,0.79,0.589,0.69,0.778
FGA,0.87,1.0,0.889,0.658,1.0,0.844,0.873,0.95,0.917,0.889,0.828,0.918,0.8,0.822,0.876
PTA,0.833,0.793,0.647,0.852,0.833,0.781,0.697,0.728,0.676,0.612,0.731,0.669,0.509,0.539,0.707
RTA,0.909,0.793,0.579,0.5,0.833,0.77,0.596,0.756,0.699,0.555,0.731,0.651,0.607,0.602,0.684
FTA,0.87,0.793,0.611,0.63,0.833,0.776,0.642,0.742,0.688,0.582,0.731,0.66,0.554,0.568,0.691
