,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dataset,Proxifier,Apache,OpenSSH,HDFS,OpenStack,HPC,Zookeeper,HealthApp,Hadoop,Spark,BGL,Linux,Mac,Thunderbird,Average
identified_templates,11.0,29.0,37.0,27.0,48.0,75.0,92.0,159.0,238.0,225.0,362.0,268.0,769.0,1333.0,262.357
ground_templates,11.0,29.0,38.0,46.0,48.0,74.0,89.0,156.0,236.0,236.0,320.0,338.0,626.0,1241.0,249.143
GA,1.0,1.0,0.69,1.0,1.0,0.871,0.998,0.993,0.921,1.0,0.88,0.758,0.801,0.819,0.909
PA,1.0,0.995,0.691,1.0,0.982,0.763,0.685,0.801,0.823,0.997,0.945,0.738,0.534,0.569,0.823
FGA,1.0,1.0,0.827,0.658,1.0,0.913,0.95,0.971,0.954,0.928,0.798,0.802,0.793,0.854,0.889
PTA,1.0,0.828,0.757,0.889,0.917,0.827,0.837,0.818,0.748,0.751,0.682,0.616,0.458,0.573,0.764
RTA,1.0,0.828,0.737,0.522,0.917,0.838,0.865,0.833,0.754,0.716,0.772,0.488,0.562,0.616,0.746
FTA,1.0,0.828,0.747,0.658,0.917,0.832,0.851,0.825,0.751,0.733,0.724,0.545,0.505,0.594,0.751
